tenure,MonthlyCharges,TotalCharges,avg_monthly_charge_per_tenure,num_services,gender_Male,SeniorCitizen_1,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
-0.5822407,0.26215553,-0.19814482,0.17483205,-0.024817325,0.01442747,-0.009513219,-0.004021565,-0.038806308,-0.0070553026,-0.0016412046,0.023251656,0.2242593,0.022072319,0.0071422444,-0.13429989,0.0013247861,-0.022968756,0.00055394025,-0.00051471306,5.4101594e-05,-0.08365309,0.0,0.024231602,0.0,0.032331906,0.04721798,-1.0132923,0.036537066,-0.014596988,-0.12894781,0.0013567973
0.35035643,0.28049675,0.15664333,0.027493525,-0.00016164378,0.0011195969,0.049628776,0.0010534127,0.019631589,-0.009004909,-0.0021697711,0.07614159,0.43914825,0.04803066,0.01718852,0.048724174,0.0033752725,0.022276757,0.002265093,0.0011569023,0.00016789991,-0.17807779,0.0,0.059046477,0.0,0.06622807,0.14797401,0.27307296,0.0845719,-0.068980746,-0.12254932,0.0030167822
-0.28056264,-0.024891393,-0.13238402,-0.034831453,-0.013642609,-0.0047935545,-0.025277458,-0.01018744,-0.047609773,-0.02321073,-0.005525934,0.025274245,-0.30708367,0.033365116,0.010007663,-0.13211699,0.0025709777,-0.010460898,0.0006653954,0.0014486767,0.00011741461,0.034018923,0.0,0.039943717,0.0,-0.11512018,-0.4775937,0.16167559,0.05907616,-0.007641057,-0.17023754,0.0018304943
-0.070221245,-0.029688977,-0.08714649,-0.039367583,0.0013882731,-0.0021065476,-0.016787792,0.0020482542,0.008676389,-0.0132489335,-0.0026563492,-0.07052584,0.31397212,0.03332494,0.013939238,0.038351003,0.0022744748,0.01440945,0.0009445738,-0.00814314,7.3888e-05,-0.14572698,0.0,-0.051883224,0.0,-0.03547801,0.14296803,0.22187884,-0.27843034,0.0043130047,0.26869208,0.0023589921
-0.5654309,-0.036586378,-0.16997387,-0.06122509,-0.026164768,-0.004716508,-0.02308534,-0.010444408,0.008481713,-0.01783414,-0.0040912344,0.023501096,-0.24250077,0.027641468,0.008732102,-0.15049532,0.0016869144,-0.0138141485,0.000534108,0.0003435823,7.485642e-05,0.038239896,0.0,0.02656148,0.0,0.041789666,0.051111735,-1.1898637,0.041488227,-0.013445455,-0.1568642,0.001672732
0.0011001859,0.26351994,-0.05851837,0.0065818625,-0.00090743124,-0.0042907284,-0.010850532,0.0019020194,0.023079477,-0.011024163,-0.002331917,0.07417375,0.38451862,0.043003436,0.015938198,0.052579522,0.0031773974,-0.030498093,0.0013463018,0.002477797,0.00011741461,0.060727376,0.0,0.072985835,0.0,0.0791342,0.15309158,0.26405224,0.11657846,-0.07404723,-0.2027105,0.003313265
-0.014740239,0.23831414,-0.07941897,-0.019459758,-0.010657982,0.0037395812,-0.011528421,0.0032236795,0.015217102,-0.01118707,-0.0026670534,-0.09157697,0.3689571,0.037622716,0.013518634,0.03837317,0.0025262123,-0.03488283,0.0013428174,0.0034979796,7.3888e-05,-0.20164753,0.0,0.06504336,0.0,0.0695084,0.13555177,0.25179377,0.08976106,0.006467432,-0.18390703,0.00247236
-0.10019103,-0.28424877,-0.0096725775,-0.1199052,-0.0033777272,-0.00028200616,-0.01898147,0.0090615535,-0.053183574,-0.03748456,-0.008131653,0.04449984,-0.45416427,-0.26674408,-0.08097695,0.020640733,-0.022950336,0.005264411,-0.008790498,-0.00023643998,-0.000581131,0.021615777,0.0,-0.03912961,0.0,-0.05189873,0.12428573,0.19410516,0.071552254,-0.027633784,-0.19681703,0.007484784
-0.3768972,-0.20299594,-0.06630461,-0.10639161,0.0028048668,-0.0018738485,-0.023910094,-0.0077993404,-0.025513338,-0.024862196,-0.0070970333,-0.020870881,-0.30033246,-0.1394177,-0.041245554,0.018898062,-0.009304317,0.0043109236,-0.00339194,-0.00043736765,-0.0003704938,0.017461758,0.0,-0.025398908,0.0,-0.03497979,0.057136234,-1.023419,-0.100038275,-0.0107222665,-0.16416687,0.002297505
0.013762662,-0.09367011,-0.040697496,-0.015914842,0.0029364876,0.0037244833,0.08387491,0.004134861,0.017076323,-0.040072866,-0.006579184,-0.05226951,-0.3856464,0.06649339,0.024556309,0.041555237,0.004322555,0.0193854,0.0012106062,8.934099e-05,0.00011741461,0.038324255,0.0,-0.04564655,0.0,-0.04649132,0.14634308,0.22732157,0.084735356,0.0059105786,0.30554107,0.0061759725
-0.59649855,0.18370572,-0.31280905,0.066899545,-0.016126879,0.0197016,-0.008307405,-0.0019354305,-0.07569871,-0.010136685,-0.002173422,0.03691345,0.27951208,0.027587906,0.007948504,-0.24022225,0.0022420934,-0.036491945,0.000605153,-0.0021653757,0.00011741461,0.04035587,0.0,0.059183426,0.0,0.038380973,0.09839824,0.19856323,0.05834933,0.0024230378,0.20206054,0.001715629
